gender,hs_gpa,year,field,gpa,campus,money,aid,study,freq,drinks,classes,mods,relation,approval,family
0,70.0,2,1,65.0,1,0,1,1,3,0,0,1,1,1,2
0,86.0,2,8,75.0,1,0,0,3,-1,2,0,0,0,1,2
1,76.0,1,0,62.0,1,1,0,4,1,3,3,0,0,1,3
1,80.0,1,2,63.0,0,0,0,4,3,3,3,0,0,1,2
1,76.0,3,8,62.0,1,1,0,4,1,3,1,3,1,0,2
1,75.0,1,8,60.0,1,0,0,3,3,4,3,2,0,1,3
0,83.0,3,2,55.0,1,1,0,4,-1,1,0,1,1,1,3
0,70.0,1,2,65.0,1,1,0,4,2,3,1,0,1,1,3
0,70.0,1,8,57.0,1,1,1,4,-1,1,0,1,1,1,3
0,81.0,2,1,72.0,1,0,1,2,2,2,0,0,0,1,3
1,75.0,2,8,50.0,1,2,0,1,-1,2,0,4,1,1,0
1,83.0,2,2,51.0,1,0,0,3,-1,2,0,4,1,1,3
1,92.0,4,2,88.0,1,1,0,4,-1,1,0,0,0,1,3
1,72.0,1,2,54.0,1,2,0,1,3,4,4,3,0,1,3
0,83.0,1,8,68.0,1,2,0,3,3,1,0,0,0,1,3
1,79.0,2,2,59.0,0,0,0,4,1,3,0,3,0,1,3
1,67.0,1,2,65.0,1,1,0,1,2,3,2,0,0,1,0
1,67.0,1,2,77.0,0,1,0,3,2,4,0,0,0,1,3
0,71.0,1,2,62.0,1,4,0,2,-1,1,0,1,0,1,3
1,78.0,1,2,60.0,1,0,0,2,0,0,0,1,0,0,3
0,83.0,1,2,84.0,1,0,0,0,2,0,0,0,1,1,2
0,76.0,1,2,70.0,1,4,0,2,-1,2,0,1,0,1,3
0,75.0,1,2,60.0,1,4,0,0,3,4,1,0,1,1,3
1,80.0,3,2,63.0,1,1,0,1,2,3,3,0,1,1,3
0,78.0,1,2,80.0,0,2,0,1,2,3,1,0,1,1,0
0,67.0,1,2,78.0,1,1,0,1,1,3,1,1,1,1,3
0,70.0,2,2,76.0,0,0,0,1,2,2,1,0,0,1,3
0,67.0,2,1,63.0,1,0,0,2,-1,1,0,2,0,0,0
1,85.0,3,8,65.0,0,1,0,2,0,3,0,2,0,1,0
0,73.0,2,2,58.0,1,1,0,2,-1,1,0,2,0,0,2
1,84.0,2,2,67.0,1,1,0,3,1,4,1,0,0,1,3
1,76.0,1,2,59.0,1,0,0,1,2,4,2,0,0,1,3
0,65.0,2,1,65.0,1,0,0,3,-1,1,0,2,0,0,0
1,87.0,3,2,74.0,0,0,1,4,2,4,3,0,0,1,3
0,78.0,2,2,64.0,1,1,0,3,2,3,4,4,1,1,3
1,80.0,2,4,65.0,0,0,1,2,1,1,1,4,1,0,2
0,67.0,1,2,80.0,1,0,0,1,3,3,2,0,0,1,0
1,72.0,1,1,64.0,1,2,0,3,3,4,0,0,0,1,3
0,75.0,2,2,75.0,1,0,0,3,0,1,0,0,1,1,3
0,82.0,2,2,72.0,1,1,0,2,3,1,0,0,0,1,0
1,82.0,3,2,63.0,1,1,0,4,1,2,0,0,1,1,0
0,80.0,3,3,74.0,1,3,0,3,2,1,0,0,0,1,3
0,65.0,3,2,60.0,1,0,0,3,-1,1,0,1,0,0,3
1,85.0,2,2,60.0,1,0,0,4,1,3,2,2,0,1,3
1,69.0,2,2,55.0,1,1,0,0,1,2,0,1,1,1,3
